Id,HouseId,Last Hour,TotalConsumption,1SDConsumption,MeanConsumptionForThatHour,SDConsumptionForThatHour
0_9_3-9-2013_6,0,6,15825.219,12329.45369,7974.7776,4354.676089
0_8_13-9-2013_6,0,6,12357.394,3540.05,2594.3075,945.7425
0_1_11-9-2013_6,0,6,24689.833,24689.833,16958.1775,7731.6555
0_7_30-9-2013_6,0,6,897.896,809.3494163,442.6776667,366.6717496
0_8_25-9-2013_6,0,6,10647.259,2411.584956,1141.7888,1269.796156
0_0_25-9-2013_6,0,6,3296.443,2411.584956,1141.7888,1269.796156
0_3_8-9-2013_6,0,6,7606.604,7390.868754,4029.88625,3360.982504
0_10_8-9-2013_6,0,6,10361.565,7390.868754,4029.88625,3360.982504
0_1_2-9-2013_6,0,6,6577.459,5951.930944,3487.303,2464.627944
0_1_4-9-2013_6,0,6,10909.306,8205.317357,4526.9222,3678.395157
0_9_4-9-2013_6,0,6,9676.162,8205.317357,4526.9222,3678.395157
0_8_1-9-2013_6,0,6,13190.447,8666.073972,3946.4184,4719.655572
0_9_7-9-2013_6,0,6,2661.394,2251.384,2141.219,110.165
0_9_17-9-2013_6,0,6,17750.061,14367.54973,9747.349333,4620.200393
0_12_28-9-2013_6,0,6,186.47,138.781,69.3905,69.3905
0_9_28-9-2013_6,0,6,228.473,138.781,69.3905,69.3905
0_1_19-9-2013_6,0,6,25983.228,21602.6711,12305.441,9297.230097
0_8_26-9-2013_6,0,6,14142.725,11190.139,11190.139,0
0_12_26-9-2013_6,0,6,11806.038,11190.139,11190.139,0
0_9_6-9-2013_6,0,6,15119.573,6059.258,3095.688,2963.57
0_8_20-9-2013_6,0,6,11580.198,4162.933156,2372.651,1790.282156
0_6_20-9-2013_6,0,6,4896.169,4162.933156,2372.651,1790.282156
0_1_14-9-2013_6,0,6,9403.511,9095.998164,5103.2076,3992.790564
0_6_14-9-2013_6,0,6,10245.888,9095.998164,5103.2076,3992.790564
0_8_23-9-2013_6,0,6,2312.602,,,
0_4_23-9-2013_6,0,6,0,,,
0_13_5-9-2013_6,0,6,4436.213,,,
0_1_10-9-2013_6,0,6,7800.426,,,
0_3_3-9-2013_6,0,6,8502.371,,,
0_3_25-9-2013_6,0,6,1854.517,,,
0_11_22-9-2013_6,0,6,583.125,,,
0_7_2-9-2013_6,0,6,4822.89,,,
0_8_10-9-2013_6,0,6,1896.595,,,
0_1_5-9-2013_6,0,6,5186.83,,,
0_0_15-9-2013_6,0,6,3497.751,,,
0_8_8-9-2013_6,0,6,1366.969,,,
0_2_18-9-2013_6,0,6,6425.718,,,
0_0_19-9-2013_6,0,6,9843.522,,,
0_1_7-9-2013_6,0,6,2251.384,,,
0_4_12-9-2013_6,0,6,0,,,
0_2_4-9-2013_6,0,6,5622.026,,,
0_0_23-9-2013_6,0,6,2418.466,,,
0_9_14-9-2013_6,0,6,767.469,,,
0_3_1-9-2013_6,0,6,1970.904,,,
0_10_20-9-2013_6,0,6,1557.251,,,
0_1_9-9-2013_6,0,6,7133.949,,,
0_12_27-9-2013_6,0,6,12275.42,,,
0_1_27-9-2013_6,0,6,35543.045,,,
0_5_6-9-2013_6,0,6,132.118,,,
0_4_10-9-2013_6,0,6,0,,,
0_8_11-9-2013_6,0,6,10816.939,,,
0_0_1-9-2013_6,0,6,1603.959,,,
0_11_26-9-2013_6,0,6,538.83,,,
0_8_15-9-2013_6,0,6,4750.543,,,
0_1_18-9-2013_6,0,6,6260.596,,,
0_5_29-9-2013_6,0,6,442.965,,,
0_5_20-9-2013_6,0,6,43.313,,,
0_0_12-9-2013_6,0,6,2346.378,,,
0_5_8-9-2013_6,0,6,63.971,,,
0_6_19-9-2013_6,0,6,13395.014,,,
0_0_29-9-2013_6,0,6,1669.194,,,
0_8_29-9-2013_6,0,6,1339.542,,,
0_1_3-9-2013_6,0,6,7611.747,,,
0_5_1-9-2013_6,0,6,0,,,
0_12_17-9-2013_6,0,6,1374.282,,,
0_0_30-9-2013_6,0,6,430.137,,,
0_6_5-9-2013_6,0,6,6916.6,,,
0_1_1-9-2013_6,0,6,2966.782,,,
0_10_2-9-2013_6,0,6,664.419,,,
0_6_3-9-2013_6,0,6,12272.993,,,
0_7_20-9-2013_6,0,6,2985.36,,,
0_1_17-9-2013_6,0,6,13396.451,,,
0_4_30-9-2013_6,0,6,0,,,
0_2_14-9-2013_6,0,6,424.305,,,
0_1_8-9-2013_6,0,6,7104.388,,,
0_2_29-9-2013_6,0,6,7934.301,,,
0_0_16-9-2013_6,0,6,1675.814,,,
0_10_12-9-2013_6,0,6,1481.943,,,
0_9_24-9-2013_6,0,6,993.29,,,
0_8_4-9-2013_6,0,6,2390.982,,,
0_6_29-9-2013_6,0,6,10232.776,,,
0_0_13-9-2013_6,0,6,1648.565,,,
0_0_20-9-2013_6,0,6,1565.762,,,
0_4_4-9-2013_6,0,6,0,,,
0_9_9-9-2013_6,0,6,2618.546,,,
0_12_29-9-2013_6,0,6,197.082,,,
0_0_11-9-2013_6,0,6,9226.522,,,
0_9_19-9-2013_6,0,6,12699.281,,,
0_12_24-9-2013_6,0,6,1563.333,,,
0_8_6-9-2013_6,0,6,1410.105,,,
0_4_19-9-2013_6,0,6,0,,,
0_9_13-9-2013_6,0,6,2949.628,,,
0_5_5-9-2013_6,0,6,126.59,,,
0_11_1-9-2013_6,0,6,550.697,,,
0_3_15-9-2013_6,0,6,1790.736,,,
0_5_12-9-2013_6,0,6,41.607,,,
0_5_25-9-2013_6,0,6,35.192,,,
0_0_2-9-2013_6,0,6,2533.619,,,
0_11_18-9-2013_6,0,6,532.488,,,
0_5_2-9-2013_6,0,6,15.244,,,
0_12_10-9-2013_6,0,6,269.875,,,
0_4_25-9-2013_6,0,6,0,,,
0_1_16-9-2013_6,0,6,3479.647,,,
0_4_22-9-2013_6,0,6,0,,,
0_4_3-9-2013_6,0,6,0,,,
0_0_17-9-2013_6,0,6,3228.928,,,
0_11_17-9-2013_6,0,6,559.173,,,
0_1_13-9-2013_6,0,6,3540.05,,,
0_3_10-9-2013_6,0,6,7337.694,,,
0_0_10-9-2013_6,0,6,1688.163,,,
0_8_17-9-2013_6,0,6,4276.206,,,
0_10_16-9-2013_6,0,6,1595.642,,,
0_0_18-9-2013_6,0,6,2457.286,,,
0_8_30-9-2013_6,0,6,450.561,,,
0_0_8-9-2013_6,0,6,1344.582,,,
0_0_24-9-2013_6,0,6,3519.893,,,
0_9_16-9-2013_6,0,6,2698.638,,,
0_8_5-9-2013_6,0,6,2067.125,,,
0_7_28-9-2013_6,0,6,0,,,
0_0_26-9-2013_6,0,6,11190.139,,,
0_3_7-9-2013_6,0,6,2031.054,,,
0_7_3-9-2013_6,0,6,11486.777,,,
0_4_18-9-2013_6,0,6,0,,,
0_0_27-9-2013_6,0,6,11679.665,,,
0_4_15-9-2013_6,0,6,0,,,
0_9_27-9-2013_6,0,6,14300.84,,,
0_3_4-9-2013_6,0,6,3712.297,,,
0_11_25-9-2013_6,0,6,559.64,,,
0_0_9-9-2013_6,0,6,2588.661,,,
0_11_13-9-2013_6,0,6,600.482,,,
0_0_22-9-2013_6,0,6,3262.973,,,
0_0_28-9-2013_6,0,6,138.781,,,
0_7_17-9-2013_6,0,6,12616.669,,,
0_10_1-9-2013_6,0,6,783.193,,,
0_2_25-9-2013_6,0,6,522.792,,,
0_11_14-9-2013_6,0,6,568.747,,,
0_1_6-9-2013_6,0,6,6059.258,,,
0_7_15-9-2013_6,0,6,1816.274,,,
0_3_14-9-2013_6,0,6,1846.025,,,
0_3_22-9-2013_6,0,6,2526.399,,,
0_0_14-9-2013_6,0,6,3596.309,,,
0_2_10-9-2013_6,0,6,7890.988,,,
0_5_15-9-2013_6,0,6,54.427,,,
0_9_1-9-2013_6,0,6,1224.892,,,
0_12_23-9-2013_6,0,6,200.139,,,
1_0_7-9-2013_4,1,4,85.56,,,
1_0_20-9-2013_4,1,4,82.379,,,
1_0_15-9-2013_4,1,4,6036.91,,,
1_0_19-9-2013_4,1,4,7796.99,,,
1_0_3-9-2013_4,1,4,87.022,,,
1_0_8-9-2013_4,1,4,86.093,,,
1_0_5-9-2013_4,1,4,67.145,,,
1_0_17-9-2013_4,1,4,85.594,,,
1_0_18-9-2013_4,1,4,6142.665,,,
1_0_11-9-2013_4,1,4,84.249,,,
1_0_23-9-2013_4,1,4,82.951,,,
1_0_9-9-2013_4,1,4,87.211,,,
1_0_1-9-2013_4,1,4,87.824,,,
1_0_4-9-2013_4,1,4,88.409,,,
1_0_14-9-2013_4,1,4,6322.545,,,
1_0_12-9-2013_4,1,4,84.205,,,
1_0_22-9-2013_4,1,4,130.425,,,
1_0_13-9-2013_4,1,4,84.183,,,
1_0_10-9-2013_4,1,4,122.094,,,
1_0_2-9-2013_4,1,4,82.501,,,
1_0_6-9-2013_4,1,4,82.749,,,
1_0_16-9-2013_4,1,4,81.76,,,
2_0_2-9-2013_21,2,21,7198.821,,,
2_0_1-9-2013_21,2,21,5103.954,,,
0_0_27-9-2013_4,0,4,3263.165,,,
0_1_18-9-2013_4,0,4,9450.319,,,
0_5_10-9-2013_4,0,4,31.108,,,
0_4_15-9-2013_4,0,4,0,,,
0_0_1-9-2013_4,0,4,1663.927,,,
0_9_2-9-2013_4,0,4,1041.322,,,
0_5_24-9-2013_4,0,4,28.451,,,
0_0_2-9-2013_4,0,4,1662.704,,,
0_3_7-9-2013_4,0,4,2064.673,,,
0_9_25-9-2013_4,0,4,1491.862,,,
0_0_29-9-2013_4,0,4,1344.154,,,
0_2_14-9-2013_4,0,4,440.165,,,
0_4_18-9-2013_4,0,4,0,,,
0_13_5-9-2013_4,0,4,2198.602,,,
0_7_28-9-2013_4,0,4,56.395,,,
0_0_30-9-2013_4,0,4,421.076,,,
0_4_25-9-2013_4,0,4,0,,,
0_12_24-9-2013_4,0,4,1900.894,,,
0_1_9-9-2013_4,0,4,2648.062,,,
0_1_7-9-2013_4,0,4,2754.867,,,
0_0_22-9-2013_4,0,4,1660.047,,,
0_8_8-9-2013_4,0,4,1472.008,,,
0_11_14-9-2013_4,0,4,567.059,,,
0_8_11-9-2013_4,0,4,1709.337,,,
0_1_6-9-2013_4,0,4,7693.657,,,
0_5_12-9-2013_4,0,4,41.809,,,
0_10_8-9-2013_4,0,4,919.397,,,
0_3_10-9-2013_4,0,4,2529.663,,,
0_4_23-9-2013_4,0,4,0,,,
0_11_1-9-2013_4,0,4,569.248,,,
0_8_30-9-2013_4,0,4,429.886,,,
0_2_10-9-2013_4,0,4,1831.54,,,
0_5_20-9-2013_4,0,4,43.88,,,
0_7_30-9-2013_4,0,4,908.094,,,
0_7_10-9-2013_4,0,4,3285.533,,,
0_4_10-9-2013_4,0,4,0,,,
0_9_27-9-2013_4,0,4,1297.745,,,
0_5_22-9-2013_4,0,4,34.838,,,
0_9_13-9-2013_4,0,4,3219.206,,,
0_9_18-9-2013_4,0,4,3690.106,,,
0_10_12-9-2013_4,0,4,1830.163,,,
0_7_15-9-2013_4,0,4,1846.97,,,
0_8_15-9-2013_4,0,4,4295.175,,,
0_1_3-9-2013_4,0,4,7344.055,,,
0_11_18-9-2013_4,0,4,469.917,,,
0_8_5-9-2013_4,0,4,1424.711,,,
0_0_15-9-2013_4,0,4,3195.909,,,
0_2_8-9-2013_4,0,4,1130.556,,,
0_4_22-9-2013_4,0,4,0,,,
0_12_25-9-2013_4,0,4,1735.288,,,
0_1_11-9-2013_4,0,4,3779.068,,,
0_0_9-9-2013_4,0,4,1403.856,,,
0_8_22-9-2013_4,0,4,1687.744,,,
0_5_29-9-2013_4,0,4,39.547,,,
0_3_1-9-2013_4,0,4,1996.045,,,
0_0_26-9-2013_4,0,4,3291.865,,,
0_10_20-9-2013_4,0,4,1737.51,,,
0_12_26-9-2013_4,0,4,1704.914,,,
0_3_25-9-2013_4,0,4,1917.858,,,
0_0_18-9-2013_4,0,4,3226.318,,,
0_0_20-9-2013_4,0,4,1578.838,,,
0_11_26-9-2013_4,0,4,561.004,,,
0_9_14-9-2013_4,0,4,957.566,,,
0_5_8-9-2013_4,0,4,63.487,,,
0_12_23-9-2013_4,0,4,636.693,,,
0_11_22-9-2013_4,0,4,542.772,,,
0_6_19-9-2013_4,0,4,10574.503,,,
0_1_13-9-2013_4,0,4,3768.952,,,
0_12_27-9-2013_4,0,4,1328.844,,,
0_10_1-9-2013_4,0,4,785.563,,,
0_2_4-9-2013_4,0,4,1957.992,,,
0_0_17-9-2013_4,0,4,1531.329,,,
0_8_29-9-2013_4,0,4,1424.543,,,
0_5_5-9-2013_4,0,4,120.98,,,
0_1_16-9-2013_4,0,4,3469.337,,,
0_10_17-9-2013_4,0,4,656.142,,,
0_9_17-9-2013_4,0,4,1000.482,,,
0_5_2-9-2013_4,0,4,17.569,,,
0_4_29-9-2013_4,0,4,0,,,
0_0_10-9-2013_4,0,4,1679.915,,,
0_9_19-9-2013_4,0,4,2138.085,,,
0_3_15-9-2013_4,0,4,1790.767,,,
0_13_1-9-2013_4,0,4,2477.031,,,
0_4_19-9-2013_4,0,4,0,,,
0_4_3-9-2013_4,0,4,0,,,
0_0_19-9-2013_4,0,4,3592.231,,,
0_0_14-9-2013_4,0,4,3265.172,,,
0_0_16-9-2013_4,0,4,1735.654,,,
0_0_13-9-2013_4,0,4,1718.404,,,
0_0_11-9-2013_4,0,4,1693.677,,,
0_8_4-9-2013_4,0,4,1693.47,,,
0_3_14-9-2013_4,0,4,1859.187,,,
0_12_17-9-2013_4,0,4,188.216,,,
0_4_12-9-2013_4,0,4,0,,,
0_0_24-9-2013_4,0,4,3442.629,,,
0_7_17-9-2013_4,0,4,1934.688,,,
0_5_25-9-2013_4,0,4,43.695,,,
0_8_17-9-2013_4,0,4,1547.96,,,
0_0_12-9-2013_4,0,4,1662.573,,,
0_8_6-9-2013_4,0,4,1377.705,,,
0_10_18-9-2013_4,0,4,1739.269,,,
0_12_10-9-2013_4,0,4,692.584,,,
0_0_28-9-2013_4,0,4,142.933,,,
0_11_25-9-2013_4,0,4,574.356,,,
0_5_15-9-2013_4,0,4,43.496,,,
0_9_1-9-2013_4,0,4,1305.321,,,
0_1_19-9-2013_4,0,4,10374.026,,,
0_11_17-9-2013_4,0,4,503.147,,,
0_0_23-9-2013_4,0,4,1682.05,,,
0_1_1-9-2013_4,0,4,3058.557,2834.323078,2239.509667,594.8134117
0_1_15-9-2013_4,0,4,8274.777,5325.390181,2525.319833,2800.070347
0_1_12-9-2013_4,0,4,3691.963,2858.75119,1349.08625,1509.66494
0_9_7-9-2013_4,0,4,3273.267,2754.867,2409.77,345.097
0_1_14-9-2013_4,0,4,8532.598,8250.402965,4674.9968,3575.406165
0_9_24-9-2013_4,0,4,17238.64,3442.629,1735.54,1707.089
0_6_3-9-2013_4,0,4,12026.545,11406.59888,6456.866667,4949.732216
0_1_5-9-2013_4,0,4,3054.892,2733.761173,1533.527667,1200.233507
0_8_26-9-2013_4,0,4,4261.093,3291.865,3291.865,0
0_1_4-9-2013_4,0,4,4103.904,3664.478921,2585.122,1079.356921
0_0_25-9-2013_4,0,4,3251.007,2668.464104,1303.14,1365.324104
0_9_6-9-2013_4,0,4,19408.213,7693.657,7693.657,0
0_1_10-9-2013_4,0,4,3999.727,3316.374211,1908.212286,1408.161925
0_1_2-9-2013_4,0,4,2947.309,2741.603628,1542.527333,1199.076295
0_1_17-9-2013_4,0,4,2837.234,2647.046184,2101.083667,545.9625174
0_3_22-9-2013_4,0,4,2443.345,2088.795096,1034.5575,1054.237596
0_1_23-9-2013_4,0,4,3862.855,3429.681212,1848.301667,1581.379545
0_6_14-9-2013_4,0,4,9277.862,8250.402965,4674.9968,3575.406165
0_1_8-9-2013_4,0,4,2309.347,2085.043248,1167.796667,917.2465809
0_9_4-9-2013_4,0,4,3694.359,3664.478921,2585.122,1079.356921
0_9_3-9-2013_4,0,4,15221.744,11406.59888,6456.866667,4949.732216
0_9_9-9-2013_4,0,4,3366.751,2648.062,2025.959,622.103
0_9_10-9-2013_4,0,4,3524.761,3316.374211,1908.212286,1408.161925
0_6_18-9-2013_4,0,4,10145.665,9961.095685,5705.5755,4255.520185
0_7_29-9-2013_4,0,4,2076.287,1749.078785,864.997,884.0817846
0_13_3-9-2013_4,0,4,21377.133,11406.59888,6456.866667,4949.732216
0_8_28-9-2013_4,0,4,174.349,142.933,99.664,43.269
0_6_20-9-2013_4,0,4,5066.434,4331.184297,2229.717333,2101.466964
0_1_1-9-2013_4,0,4,3058.557,2834.323078,2239.509667,594.8134117
0_7_29-9-2013_4,0,4,2076.287,1749.078785,864.997,884.0817846
0_1_10-9-2013_4,0,4,3999.727,3316.374211,1908.212286,1408.161925
0_9_10-9-2013_4,0,4,3524.761,3316.374211,1908.212286,1408.161925
0_9_6-9-2013_4,0,4,19408.213,7693.657,7693.657,0
0_1_2-9-2013_4,0,4,2947.309,2741.603628,1542.527333,1199.076295
0_8_28-9-2013_4,0,4,174.349,142.933,99.664,43.269
0_1_12-9-2013_4,0,4,3691.963,2858.75119,1349.08625,1509.66494
0_9_24-9-2013_4,0,4,17238.64,3442.629,1735.54,1707.089
0_6_3-9-2013_4,0,4,12026.545,11406.59888,6456.866667,4949.732216
0_9_3-9-2013_4,0,4,15221.744,11406.59888,6456.866667,4949.732216
0_13_3-9-2013_4,0,4,21377.133,11406.59888,6456.866667,4949.732216
0_0_25-9-2013_4,0,4,3251.007,2668.464104,1303.14,1365.324104
0_1_23-9-2013_4,0,4,3862.855,3429.681212,1848.301667,1581.379545
0_9_9-9-2013_4,0,4,3366.751,2648.062,2025.959,622.103
0_1_4-9-2013_4,0,4,4103.904,3664.478921,2585.122,1079.356921
0_9_4-9-2013_4,0,4,3694.359,3664.478921,2585.122,1079.356921
0_1_14-9-2013_4,0,4,8532.598,8250.402965,4674.9968,3575.406165
0_6_14-9-2013_4,0,4,9277.862,8250.402965,4674.9968,3575.406165
0_1_15-9-2013_4,0,4,8274.777,5325.390181,2525.319833,2800.070347
0_1_17-9-2013_4,0,4,2837.234,2647.046184,2101.083667,545.9625174
0_9_7-9-2013_4,0,4,3273.267,2754.867,2409.77,345.097
0_8_26-9-2013_4,0,4,4261.093,3291.865,3291.865,0
0_6_18-9-2013_4,0,4,10145.665,9961.095685,5705.5755,4255.520185
0_1_8-9-2013_4,0,4,2309.347,2085.043248,1167.796667,917.2465809
0_1_5-9-2013_4,0,4,3054.892,2733.761173,1533.527667,1200.233507
0_3_22-9-2013_4,0,4,2443.345,2088.795096,1034.5575,1054.237596
0_6_20-9-2013_4,0,4,5066.434,4331.184297,2229.717333,2101.466964
1_0_1-9-2013_11,1,11,5257.477,,,
1_0_23-9-2013_11,1,11,4179.976,,,
1_0_22-9-2013_11,1,11,6798.396,,,
1_0_4-9-2013_11,1,11,3888.88,,,
1_0_2-9-2013_11,1,11,4032.376,,,
1_0_5-9-2013_11,1,11,86.173,,,
1_0_19-9-2013_11,1,11,4637.234,,,
1_0_8-9-2013_11,1,11,87.465,,,
1_0_16-9-2013_11,1,11,6024.89,,,
1_0_20-9-2013_11,1,11,7636.425,,,
1_0_18-9-2013_11,1,11,4453.138,,,
1_0_11-9-2013_11,1,11,4277.559,,,
1_0_6-9-2013_11,1,11,88.127,,,
1_0_3-9-2013_11,1,11,4030.894,,,
1_0_10-9-2013_11,1,11,3450.75,,,
1_0_17-9-2013_11,1,11,10505.984,,,
1_0_15-9-2013_11,1,11,4754.909,,,
1_0_14-9-2013_11,1,11,4318.08,,,
1_0_7-9-2013_11,1,11,87.428,,,
1_0_13-9-2013_11,1,11,2986.801,,,
2_0_1-9-2013_8,2,8,2815.022,,,
2_0_2-9-2013_8,2,8,2911.805,,,
0_9_20-9-2013_1,0,1,96.537,58.004,49.7165,8.2875
0_12_28-9-2013_1,0,1,180.809,136.7765558,78.30133333,58.4752225
0_9_10-9-2013_1,0,1,22013.208,9217.575104,4457.917,4759.658104
0_2_10-9-2013_1,0,1,10631.274,9217.575104,4457.917,4759.658104
0_6_3-9-2013_1,0,1,5169.407,4016.325671,2169.3935,1846.932171
0_1_18-9-2013_1,0,1,512.357,344.2655396,155.75,188.5155396
0_1_10-9-2013_1,0,1,9815.919,9217.575104,4457.917,4759.658104
0_6_12-9-2013_1,0,1,5049.469,4018.667041,2192.746167,1825.920875
0_3_15-9-2013_1,0,1,1800.815,1019.815176,375.7758333,644.0393424
0_6_23-9-2013_1,0,1,12255.341,11502.54901,7170.927667,4331.621343
0_13_3-9-2013_1,0,1,4204.153,4016.325671,2169.3935,1846.932171
0_9_28-9-2013_1,0,1,220.959,136.7765558,78.30133333,58.4752225
0_8_26-9-2013_1,0,1,3793.622,2866.289,2866.289,0
0_6_24-9-2013_1,0,1,17684.773,13871.25695,7221.2205,6650.036448
0_1_2-9-2013_1,0,1,2980.612,2662.535413,1617.069,1045.466413
0_0_27-9-2013_1,0,1,80.899,78.68106507,45.026,33.65506507
0_6_19-9-2013_1,0,1,4280.008,3798.33688,2776.66375,1021.67313
0_6_5-9-2013_1,0,1,4659.617,4216.805676,2514.08475,1702.720926
0_5_8-9-2013_1,0,1,115.144,103.8188548,68.251,35.56785484
0_6_16-9-2013_1,0,1,5052.412,4760.584567,3392.628333,1367.956234
0_9_23-9-2013_1,0,1,15981.095,11502.54901,7170.927667,4331.621343
0_9_3-9-2013_1,0,1,17205.087,4016.325671,2169.3935,1846.932171
0_2_29-9-2013_1,0,1,4.689,4.661581115,2.33075,2.330831115
0_13_7-9-2013_1,0,1,21418.583,6634.28568,3334.809,3299.47668
0_3_7-9-2013_1,0,1,6832.257,6634.28568,3334.809,3299.47668
0_9_9-9-2013_1,0,1,2727.833,2291.174,1861.387,429.787
0_0_28-9-2013_1,0,1,140.489,136.7765558,78.30133333,58.4752225
0_1_2-9-2013_1,0,1,2980.612,2662.535413,1617.069,1045.466413
0_6_16-9-2013_1,0,1,5052.412,4760.584567,3392.628333,1367.956234
0_3_15-9-2013_1,0,1,1800.815,1019.815176,375.7758333,644.0393424
0_6_24-9-2013_1,0,1,17684.773,13871.25695,7221.2205,6650.036448
0_6_23-9-2013_1,0,1,12255.341,11502.54901,7170.927667,4331.621343
0_9_23-9-2013_1,0,1,15981.095,11502.54901,7170.927667,4331.621343
0_2_29-9-2013_1,0,1,4.689,4.661581115,2.33075,2.330831115
0_6_12-9-2013_1,0,1,5049.469,4018.667041,2192.746167,1825.920875
0_9_10-9-2013_1,0,1,22013.208,9217.575104,4457.917,4759.658104
0_2_10-9-2013_1,0,1,10631.274,9217.575104,4457.917,4759.658104
0_1_10-9-2013_1,0,1,9815.919,9217.575104,4457.917,4759.658104
0_1_18-9-2013_1,0,1,512.357,344.2655396,155.75,188.5155396
0_13_7-9-2013_1,0,1,21418.583,6634.28568,3334.809,3299.47668
0_3_7-9-2013_1,0,1,6832.257,6634.28568,3334.809,3299.47668
0_9_20-9-2013_1,0,1,96.537,58.004,49.7165,8.2875
0_12_28-9-2013_1,0,1,180.809,136.7765558,78.30133333,58.4752225
0_9_28-9-2013_1,0,1,220.959,136.7765558,78.30133333,58.4752225
0_0_28-9-2013_1,0,1,140.489,136.7765558,78.30133333,58.4752225
0_0_27-9-2013_1,0,1,80.899,78.68106507,45.026,33.65506507
0_6_3-9-2013_1,0,1,5169.407,4016.325671,2169.3935,1846.932171
0_13_3-9-2013_1,0,1,4204.153,4016.325671,2169.3935,1846.932171
0_9_3-9-2013_1,0,1,17205.087,4016.325671,2169.3935,1846.932171
0_6_19-9-2013_1,0,1,4280.008,3798.33688,2776.66375,1021.67313
0_5_8-9-2013_1,0,1,115.144,103.8188548,68.251,35.56785484
0_6_5-9-2013_1,0,1,4659.617,4216.805676,2514.08475,1702.720926
0_8_26-9-2013_1,0,1,3793.622,2866.289,2866.289,0
0_9_9-9-2013_1,0,1,2727.833,2291.174,1861.387,429.787
0_0_1-9-2013_1,0,1,62.787,,,
1_0_18-9-2013_1,1,1,469.805,,,
1_0_7-9-2013_1,1,1,85.988,,,
1_0_9-9-2013_1,1,1,84.364,,,
1_0_22-9-2013_1,1,1,1219.539,,,
1_0_2-9-2013_1,1,1,82.93,,,
1_0_17-9-2013_1,1,1,6022.827,,,
1_0_5-9-2013_1,1,1,111.283,,,
1_0_6-9-2013_1,1,1,6.318,,,
1_0_13-9-2013_1,1,1,32.62,,,
1_0_14-9-2013_1,1,1,6969.093,,,
1_0_23-9-2013_1,1,1,83.447,,,
1_0_20-9-2013_1,1,1,6.158,,,
1_0_12-9-2013_1,1,1,80.085,,,
1_0_8-9-2013_1,1,1,3.372,,,
1_0_19-9-2013_1,1,1,127.758,,,
1_0_10-9-2013_1,1,1,125.061,,,
1_0_3-9-2013_1,1,1,87.872,,,
1_0_15-9-2013_1,1,1,211.524,,,
1_0_11-9-2013_1,1,1,13.796,,,
